name,kcal_per_100gr,fat_per_100gr,fiber_per_100gr,protein_per_100gr,carbs_per_100gr,user_id,rating,notes,tags,is_verified,image_url
"Campbell Soup Company,V8 V. Fusion Juices,Strawberry Banana",48.8,0,0,0.41,11.79,,,,,TRUE,
"Campbell Soup Company,V8 V. Fusion Juices,Tropical",47.16,0,0,0.41,11.38,,,,,TRUE,
"Campbell Soup Company,V8 Veg Juc,Ca Enr V8",21.4,0,0.8,0.82,4.53,,,,,TRUE,
"Campbell Soup Company,V8 Veg Juc,Essential Antioxidants V8",21.4,0,0.8,0.82,4.53,,,,,TRUE,
"Campbell Soup Company,V8 Veg Juc,Lemon Twist V8",19.76,0,0.8,0.82,4.12,,,,,TRUE,
"Campbell Soup Company,V8 Veg Juc,Lo Na V8",19.76,0,0.8,0.82,4.12,,,,,TRUE,
"Campbell Soup Company,V8 Veg Juc,Organic V8",19.76,0,0.8,0.82,4.12,,,,,TRUE,
"Campbell Soup Company,V8 Veg Juc,Spicy Hot V8",19.76,0,0.8,0.82,4.12,,,,,TRUE,
"Campbell Soup Company,V8 Veg Juc,V8 Picante",19.76,0,0.8,0.82,4.12,,,,,TRUE,
"Campbell Soup, Prego Pasta,Garlic Supreme Ital Sau,Rts",86.2,3.08,2.3,1.54,13.08,,,,,TRUE,
"Campbell Soup,Campbell'S Red & White,Bean W/ Bacon Soup,Cond",131.29,3.13,6.3,6.25,19.53,,,,,TRUE,
"Campbell Soup,Campbell'S Red & White,Broccoli Chs Soup,Cond",77.83,3.63,0,1.61,9.68,,,,,TRUE,
"Campbell Soup,Campbell'S Red & White,Chick Gumbo Soup,Cond",45.23,0.79,0.8,1.59,7.94,,,,,TRUE,
"Campbell Soup,Campbell'S Red & White,Chick W/ Rice Soup,Cond",58.35,1.19,0.8,1.59,10.32,,,,,TRUE,
"Campbell Soup,Campbell'S Red & White,Tomato Bisque,Cond",104.38,2.78,0.8,1.59,18.25,,,,,TRUE,
"Campbell Soup,Campbell'S Red&White,Chick Won Ton Soup,Cond",45.19,0.79,0,3.17,6.35,,,,,TRUE,
"Campbell Soup,Chunky Micro Bowls,Sirl Brger W/Cntry Veg,Rts",60.39,1.63,1.6,4.08,7.35,,,,,TRUE,
"Campbell Soup,Healthy Request,Homestyl Chick Noodle,Cond",49.23,1.59,0.8,2.38,6.35,,,,,TRUE,
"Campbell Soup,Prego Pasta,Chunky Garden Comb Italian Sau,Rts",68.83,1.15,2.3,1.54,13.08,,,,,TRUE,
"Campbell Soup,Prego Pasta,Diced Onion & Garlic Ital Sau,Rts",92.7,3.46,2.3,1.54,13.85,,,,,TRUE,
"Campbell Soup,Prego Pasta,Ital Sausge & Garlic Ital Sau,Rts",96.8,4,2.4,2.4,12.8,,,,,TRUE,
"Campbell Soup,Prego Pasta,Mini Meatball Ital Sau,Rts",115.42,4.62,2.3,3.08,15.38,,,,,TRUE,
"Campbell Soup,Prego Pasta,Mushrm & Grlic Ital Sau,Rts",75.42,1.54,2.3,1.54,13.85,,,,,TRUE,
"Campbell Soup,Prego Pasta,Mushrm & Parmesan Italian Sau,Rts",105.2,2.8,2.4,2.4,17.6,,,,,TRUE,
"Campbell Soup,Prego Pasta,Organic Mushroom Italian Sau,Rts",66,2,3.2,1.6,10.4,,,,,TRUE,
"Campbell Soup,Prego Pasta,Orgnic Tomato & Basil Ital Sau,Rts",72.4,2,3.2,1.6,12,,,,,TRUE,
"Campbell Soup,Prego Pasta,Ricotta Parmesan Italian Sau,Rts",88.8,2.4,2.4,2.4,14.4,,,,,TRUE,
"Campbell Soup,Prego Pasta,Rstd Garlic & Herb Ital Sau,Rts",86.2,3.08,2.3,1.54,13.08,,,,,TRUE,
"Campbell Soup,Prego Pasta,Rstd Garlic Parmesan Ital Sau,Rts",77.69,0.77,2.3,2.31,15.38,,,,,TRUE,
"Campbell Soup,Prego Pasta,Rstd Red Peppr & Grlc Ital Sau,Rts",96,3.2,2.4,1.6,15.2,,,,,TRUE,
"Campbell Soup,Prego Pasta,Tomato,Basil & Garlic Ital Sau,Rts",72,1.6,2.4,1.6,12.8,,,,,TRUE,
"Campbell Soups,Hlthy Rqst Mcrwvbl Bwl,Grll Chick Ssage Gmb",54.9,1.02,1.2,3.27,8.16,,,,,TRUE,
"Campbell'S Chnky Soups,Tantalizin' Trky - Trky Chili Bns Sp",77.74,1.02,3.3,6.12,11.02,,,,,TRUE,
"Campbell'S Chnky,Healthy Requst Microwavbl ,Chick Nodle Soup",46.9,1.22,0.4,2.86,6.12,,,,,TRUE,
"Campbell'S Chunky Microwavable Bwls,Chck Dmplings Soup",75.51,3.67,1.2,3.27,7.35,,,,,TRUE,
"Campbell'S Chunky Soups,Barbeque Seasoned Burger Soup",84.09,2.45,2,4.08,11.43,,,,,TRUE,
"Campbell'S Chunky Soups,Bbq Seasoned Pork Soup",68.39,1.43,2,4.9,8.98,,,,,TRUE,
"Campbell'S Chunky Soups,Bf Rib Rst Potatoes Herbs Soup",44.53,0.41,1.2,3.27,6.94,,,,,TRUE,
"Campbell'S Chunky Soups,Bf W/ Country Veg Soup",59.78,1.02,1.6,4.08,8.57,,,,,TRUE,
"Campbell'S Chunky Soups,Bf W/ White & Wild Rice Soup",61.46,1.02,1.2,3.27,9.8,,,,,TRUE,
"Campbell'S Chunky Soups,Bkd Potato Cheddar Bacon Bits Soup",66.04,2.44,0.8,1.63,9.39,,,,,TRUE,
"Campbell'S Chunky Soups,Bkd Potato W/ Steak & Chs Soup",85.68,4.08,1.2,3.67,8.57,,,,,TRUE,
"Campbell'S Chunky Soups,Chick & Dumplings Soup",71.46,2.86,1.6,3.67,7.76,,,,,TRUE,
"Campbell'S Chunky Soups,Chick Broccoli Chs & Potato Soup",74.69,4.49,0.4,2.86,5.71,,,,,TRUE,
"Campbell'S Chunky Soups,Chick Corn Chowder",78.75,3.67,1.2,3.27,8.16,,,,,TRUE,
"Campbell'S Chunky Soups,Chick Mushroom Chowder",77.15,3.67,1.2,3.27,7.76,,,,,TRUE,
"Campbell'S Chunky Soups,Classic Chick Noodle Soup",46.74,1.02,0.8,3.27,6.12,,,,,TRUE,
"Campbell'S Chunky Soups,Fajita Chick W/ Rice & Bns Soup",57.73,0.61,1.6,3.67,9.39,,,,,TRUE,
"Campbell'S Chunky Soups,Firehouse - Hot Spicy Bf Bean Chili",94.71,3.27,3.3,6.12,10.2,,,,,TRUE,
"Campbell'S Chunky Soups,Grilled Chick Sausage Gumbo Soup",56.54,1.02,1.2,3.27,8.57,,,,,TRUE,
"Campbell'S Chunky Soups,Grilled Chick Veg & Pasta Soup",44.94,0.82,0.8,3.27,6.12,,,,,TRUE,
"Campbell'S Chunky Soups,Grilled Sirloin Steak Hearty Veg Sp",51.5,0.82,1.6,3.27,7.76,,,,,TRUE,
"Campbell'S Chunky Soups,Healthy Request Chick Noodle Soup",45.1,1.02,0.4,2.86,6.12,,,,,TRUE,
"Campbell'S Chunky Soups,Healthy Request Veg Soup",47.52,0.2,1.6,1.63,9.8,,,,,TRUE,
"Campbell'S Chunky Soups,Hearty Bean 'N' Ham Soup",74.3,0.82,3.3,4.49,12.24,,,,,TRUE,
"Campbell'S Chunky Soups,Hearty Bf Barley Soup",67.94,1.02,1.6,4.08,10.61,,,,,TRUE,
"Campbell'S Chunky Soups,Hearty Chick W/ Veg Soup",38.17,0.61,0.8,2.86,5.31,,,,,TRUE,
"Campbell'S Chunky Soups,Hearty Veg W/ Pasta Soup",51.46,0.82,1.2,1.63,9.39,,,,,TRUE,
"Campbell'S Chunky Soups,Herb Rstd Chick Potatoes Garlic Soup",46.33,0.61,1.2,3.27,6.94,,,,,TRUE,
"Campbell'S Chunky Soups,Honey Rstd Ham W/ Potatoes Soup",54.9,1.02,1.2,3.27,8.16,,,,,TRUE,
"Campbell'S Chunky Soups,Italian Sausage & Peppers Soup",62.44,2.04,1.2,2.86,8.16,,,,,TRUE,
"Campbell'S Chunky Soups,Manhatten Clam Chowder",52.07,1.43,1.2,2.04,7.76,,,,,TRUE,
"Campbell'S Chunky Soups,New England Clam Chowder",85.27,3.67,2,2.86,10.2,,,,,TRUE,
"Campbell'S Chunky Soups,Old Fashioned Potato Ham Chowder",77.97,4.49,0.8,2.45,6.94,,,,,TRUE,
"Campbell'S Chunky Soups,Old Fashioned Veg Bf Soup",53.26,1.02,1.6,3.67,7.35,,,,,TRUE,
"Campbell'S Chunky Soups,Pepper Steak Soup",47.97,0.61,1.2,3.27,7.35,,,,,TRUE,
"Campbell'S Chunky Soups,Pork Rst Carrots Potatoes Soup",50.18,1.22,1.2,3.27,6.53,,,,,TRUE,
"Campbell'S Chunky Soups,Roadhouse - Bf Bean Chili",94.71,3.27,3.3,6.12,10.2,,,,,TRUE,
"Campbell'S Chunky Soups,Salisbury Steak Mushrms Onions Soup",62.28,1.84,2,3.67,7.76,,,,,TRUE,
"Campbell'S Chunky Soups,Savory Chick White Wild Rice Soup",48.22,0.82,0.8,2.86,7.35,,,,,TRUE,
"Campbell'S Chunky Soups,Savory Pot Rst Soup",47.97,0.61,1.2,3.27,7.35,,,,,TRUE,
"Campbell'S Chunky Soups,Savory Veg Soup",44.49,0.41,1.6,1.22,8.98,,,,,TRUE,
"Campbell'S Chunky Soups,Sizzlin' Steak- Grld Stk Chili Bns",81.18,1.22,2.9,6.53,11.02,,,,,TRUE,
"Campbell'S Chunky Soups,Slow Rstd Bf W/ Mushrooms Soup",47.97,0.61,1.2,3.27,7.35,,,,,TRUE,
"Campbell'S Chunky Soups,Smoked Chick W/ Rstd Corn Chowder",84.08,4.08,2,4.08,7.76,,,,,TRUE,
"Campbell'S Chunky Soups,Split Pea 'N' Ham Soup",72.86,1.02,1.6,4.9,11.02,,,,,TRUE,
"Campbell'S Chunky Soups,Steak 'N' Potato Soup",53.1,0.82,0.8,4.08,7.35,,,,,TRUE,
"Campbell'S Red & White - Mcrwveable Bowls,Chick Noodle Soup",30.22,0.82,0.4,1.63,4.08,,,,,TRUE,
"Campbell'S Red & White - Mcrwveable Bowls,Creamy Tomato Soup",64.04,2.04,1.2,1.22,10.2,,,,,TRUE,
"Campbell'S Red & White - Microwaveable Bowls,Chick Rice Soup",29.81,0.41,0.4,0.82,5.71,,,,,TRUE,
"Campbell'S Red & White - Microwaveable Bowls,Tomato Soup",44.08,0,1.2,1.22,9.8,,,,,TRUE,
"Campbell'S Red & White - Microwaveable Bowls,Veg Bf Soup",34.44,0.2,1.2,2.04,6.12,,,,,TRUE,
"Campbell'S Red & White, Noodle In Chick Broth Sop,Cond",77.35,1.19,1.6,3.17,13.49,,,,,TRUE,
"Campbell'S Red & White,98% Fat Free Crm Of Celery Soup,Cond",50.82,2.42,0.8,0.81,6.45,,,,,TRUE,
"Campbell'S Red & White,98% Fat Free Crm Of Chick Soup,Cond",56.86,2.02,0.8,1.61,8.06,,,,,TRUE,
"Campbell'S Red & White,Batman Fun Shapes Soup,Cond",55.59,1.59,0.8,2.38,7.94,,,,,TRUE,
"Campbell'S Red & White,Chick & Stars Soup,Cond",55.59,1.59,0.8,2.38,7.94,,,,,TRUE,
"Campbell'S Red & White,Chick Alphabet Soup,Cond",58.31,1.19,0.8,3.17,8.73,,,,,TRUE,
"Campbell'S Red & White,Chick Noodle Soup,Cond",49.23,1.59,0.8,2.38,6.35,,,,,TRUE,
"Campbell'S Red & White,Chick Noodleo'S Soup,Cond",68.58,1.98,0.8,3.17,9.52,,,,,TRUE,
"Campbell'S Red & White,Danny Phantom Shaped Pasta",58.75,1.59,0.8,3.17,7.94,,,,,TRUE,
"Campbell'S Red & White,Dora The Explorer Soup,Cond",55.59,1.59,0.8,2.38,7.94,,,,,TRUE,
"Campbell'S Red & White,Fiesta Nacho Chs Soup,Cond",99.97,6.45,0.8,2.42,8.06,,,,,TRUE,
"Campbell'S Red & White,French Onion Soup,Cond",36.11,1.19,0.8,1.59,4.76,,,,,TRUE,
"Campbell'S Red & White,Golden Mushroom Soup,Cond",64.06,2.82,0.8,1.61,8.06,,,,,TRUE,
"Campbell'S Red & White,Goldfish Pasta W/ Chick",55.15,1.19,0.8,2.38,8.73,,,,,TRUE,
"Campbell'S Red & White,Goldfish Pasta W/ Meatball",65.42,1.98,1.6,3.17,8.73,,,,,TRUE,
"Campbell'S Red & White,Grn Pea Soup,Cond",136.7,2.34,3.1,7.03,21.88,,,,,TRUE,
"Campbell'S Red & White,Hearty Veg W/ Pasta Soup,Cond",73.44,0.4,1.6,2.38,15.08,,,,,TRUE,
"Campbell'S Red & White,Homestyle Chick Noodle Soup,Cond",52.39,1.59,0.8,3.17,6.35,,,,,TRUE,
"Campbell'S Red & White,Mega Noodle In Chick Broth,Cond",71.43,1.59,1.6,3.17,11.11,,,,,TRUE,
"Campbell'S Red & White,Minestrone Soup,Cond",73.75,0.79,2.4,3.17,13.49,,,,,TRUE,
"Campbell'S Red & White,Old Fashioned Tomato Rice Soup,Cond",90.47,1.59,0.8,0.79,18.25,,,,,TRUE,
"Campbell'S Red & White,Split Pea W/ Ham & Bacon Soup,Cond",140.17,2.73,3.9,7.81,21.09,,,,,TRUE,
"Campbell'S Red & White,Vegetarian Veg Soup,Cond",70.28,0.4,1.6,2.38,14.29,,,,,TRUE,
"Campbell'S Red&White,98% Fat Free Crm Of Broccoli Soup,Cond",53.17,1.61,1.6,1.61,8.06,,,,,TRUE,
"Campbell'S Sel Gold Label Soups,Blnded Red Pepp Blk Bean Sp",47.93,0.61,1.6,1.22,9.39,,,,,TRUE,
"Campbell'S Sel Gold Label Soups,Crmy Portobello Mshrm Soup",42.39,1.63,0.8,1.22,5.71,,,,,TRUE,
"Campbell'S Sel Gold Label Soups,Golden Butternut Sqsh Soup",38.17,0.61,1.2,0.82,7.35,,,,,TRUE,
"Campbell'S Sel Mcrwvable Bowls,98% Ft Fr New Engl Clam Chder",43.3,0.82,1.2,2.45,6.53,,,,,TRUE,
"Campbell'S Sel Mcrwvable Bowls,Chick W/ Egg Noodles Soup",38.17,0.61,0.8,3.27,4.9,,,,,TRUE,
"Campbell'S Sel Mcrwvable Bowls,Italian-Style Wedding Soup",45.1,1.02,0.8,2.86,6.12,,,,,TRUE,
"Campbell'S Sel Mcrwvable Bowls,Mex Style Chick Tortilla Soup",51.66,1.02,1.2,3.27,7.35,,,,,TRUE,
"Campbell'S Sel Mcrwvable Bowls,Svry Chk & Long Grn Rice Soup",37.72,0.2,0.4,2.86,6.12,,,,,TRUE,
"Campbell'S Sel Mcrwvable Bwls,Ital Ssge Psta & Peprni Soup",57.97,2.45,0.8,2.86,6.12,,,,,TRUE,
"Campbell'S Sel Microwaveable Bowls,Minestrone Soup",39.36,0.2,1.6,1.63,7.76,,,,,TRUE,
"Campbell'S Sel Soup,98% Fat Free New England Clam Chowder",43.05,0.61,0.8,2.04,7.35,,,,,TRUE,
"Campbell'S Sel Soup,Bf W/ Rstd Barley Soup",54.29,0.41,0.8,3.67,8.98,,,,,TRUE,
"Campbell'S Sel Soup,Chick & Pasta W/ Rstd Garlic Soup",46.17,0.41,0.8,3.27,7.35,,,,,TRUE,
"Campbell'S Sel Soup,Chick Veg Medley Soup",44.28,0.2,0.8,2.86,7.76,,,,,TRUE,
"Campbell'S Sel Soup,Creamy Chick Alfredo Soup",71.46,2.86,0.8,4.08,7.35,,,,,TRUE,
"Campbell'S Sel Soup,Healthy Request Mex Style Chick Tortilla",54.9,1.02,1.2,3.27,8.16,,,,,TRUE,
"Campbell'S Sel Soup,Italian Sausage W/ Pasta Pepperoni Soup",62.89,2.45,1.2,2.86,7.35,,,,,TRUE,
"Campbell'S Sel Soup,Italian-Style Wedding Soup",46.9,1.22,0.8,2.86,6.12,,,,,TRUE,
"Campbell'S Sel Soup,Mediterranean Meatball Bowtie Pasta Soup",47.15,1.43,1.2,2.86,5.71,,,,,TRUE,
"Campbell'S Sel Soup,Mexican Style Chick Tortilla Soup",53.1,0.82,1.2,3.27,8.16,,,,,TRUE,
"Campbell'S Sel Soup,New England Clam Chowder",63.71,3.27,0.8,2.45,6.12,,,,,TRUE,
"Campbell'S Sel Soup,Potato Broccoli Chs Soup",48.95,1.63,1.6,1.22,7.35,,,,,TRUE,
"Campbell'S Sel Soup,Rstd Chick W/ Long Grain Wild Rice Soup",42.64,0.2,0.8,2.86,7.35,,,,,TRUE,
"Campbell'S Sel Soup,Rstd Chick W/ Rotini & Penne Pasta Soup",41,0.2,0.8,3.27,6.53,,,,,TRUE,
"Campbell'S Sel Soup,Savory White Bean W/ Rstd Ham Soup",67.33,0.41,2.9,3.67,12.24,,,,,TRUE,
"Campbell'S Sel Soup,Slow Rstd Bf & Veg Soup",41.41,0.61,0.8,2.45,6.53,,,,,TRUE,
"Campbell'S Sel Soup,Split Pea W/ Rstd Ham Soup",67.37,0.41,2,4.08,11.84,,,,,TRUE,
"Campbell'S Soup At Hand,Blended Veg Medley Soup",33.25,0.49,1.3,0.98,6.23,,,,,TRUE,
"Campbell'S Soup At Hand,Chick & Stars Soup",21.45,0.49,0.7,0.98,3.28,,,,,TRUE,
"Campbell'S Soup At Hand,Chick W/ Mini Noodles Soup",25.62,0.66,0.7,1.31,3.61,,,,,TRUE,
"Campbell'S Soup At Hand,Creamy Chick Soup",48.83,2.95,1.3,1.31,4.26,,,,,TRUE,
"Campbell'S Soup At Hand,Creamy Tomato Soup",61.63,1.31,1.3,1.31,11.15,,,,,TRUE,
"Campbell'S Soup At Hand,Crm Of Broccoli Soup",46.9,2.3,2.3,0.98,5.57,,,,,TRUE,
"Campbell'S Soup At Hand,Italian Style Wedding Soup",24.42,0.82,0.3,0.98,3.28,,,,,TRUE,
"Campbell'S Soup At Hand,New England Clam Chowder",40.01,1.97,1.3,1.31,4.26,,,,,TRUE,
"Campbell'S Soup At Hand,Velvety Potato Soup",50.9,2.3,1.3,0.66,6.89,,,,,TRUE,
Campbell'S V8 100% Veg Juc,19.76,0,0.8,0.82,4.12,,,,,TRUE,
"Campbell, Campbell'S Red & White,Crm Of Chick Soup,Cond",99.97,6.45,1.6,2.42,8.06,,,,,TRUE,
"Campbell, Campbell'S Red & White,Crm Of Potato Soup,Cond",69.33,1.61,1.6,1.61,12.1,,,,,TRUE,
"Campbell, Sel Soup,Harvest Tomato W/ Basil Soup",31.04,0,0.4,0.41,7.35,,,,,TRUE,
"Campbell, Spaghettios,Dora The Explorershaped Pasta",65.52,0.4,1.2,2.38,13.1,,,,,TRUE,
"Campbell,Campbell'S Chunky Soups,Bf Stew - Full",63.63,1.63,1.2,4.08,8.16,,,,,TRUE,
"Campbell,Campbell'S Chunky Soups,Bf Stroganof",100.39,5.71,1.6,4.9,7.35,,,,,TRUE,
"Campbell,Campbell'S Chunky Soups,Healthy Reques",49.82,0.82,1.2,2.45,8.16,,,,,TRUE,
"Campbell,Campbell'S Chunky Soups,Rigatoni & Mea",89.87,3.27,2.4,5.31,9.8,,,,,TRUE,
"Campbell,Campbell'S Chunky Soups,Turkey Pot Pie",81.67,3.27,1.6,4.49,8.57,,,,,TRUE,
"Campbell,Campbell'S Chunky,Healthy Request Bf Barley Soup",56.34,0.82,2,3.67,8.57,,,,,TRUE,
"Campbell,Campbell'S Red & White,Beefy Mushroom Soup,Cond",42.87,1.59,0,2.38,4.76,,,,,TRUE,
"Campbell,Campbell'S Red & White,Bf W/ Veg & Barley Soup,Cond",74.19,1.19,2.4,3.97,11.9,,,,,TRUE,
"Campbell,Campbell'S Red & White,Crm Of Asparagus Soup,Cond",86.33,5.65,2.4,1.61,7.26,,,,,TRUE,
"Campbell,Campbell'S Red & White,Crm Of Broccoli Soup,Cond",70.54,2.82,0.8,1.61,9.68,,,,,TRUE,
"Campbell,Campbell'S Red & White,Crm Of Celery Soup,Cond",75.84,4.84,2.4,0.81,7.26,,,,,TRUE,
"Campbell,Campbell'S Red & White,Crm Of Mushroom Soup,Cond",75.84,4.84,1.6,0.81,7.26,,,,,TRUE,
"Campbell,Campbell'S Red & White,Crm Of Onion Soup,Cond",79.04,4.84,2.4,0.81,8.06,,,,,TRUE,
"Campbell,Campbell'S Red & White,Crm Of Shrimp Soup,Cond",68.51,4.03,0.8,1.61,6.45,,,,,TRUE,
"Campbell,Campbell'S Red & White,Lentil Soup,Cond",111.87,0.79,4.8,7.14,19.05,,,,,TRUE,
"Campbell,Campbell'S Red & White,Souper Shapes S",61.91,1.59,2.4,3.17,8.73,,,,,TRUE,
"Campbell,Campbell'S Red&White,Chick & Dumplings Soup,Cond",59.1,1.98,0.8,2.38,7.94,,,,,TRUE,
"Campbell,Campbell'S Red&White,Creamy Chick Noodle Soup,Cond",99.25,5.65,3.2,3.23,8.87,,,,,TRUE,
"Campbell,Campbell'S Red&White,Creamy Chick Verde Soup,Cond",89.53,5.65,2.4,1.61,8.06,,,,,TRUE,
"Campbell,Campbell'S Red&White,Crm Of Chic W/ Herbs Soup,Cond",60.86,2.82,1.6,1.61,7.26,,,,,TRUE,
"Campbell,Campbell'S Sel Gold Label Soups,Italia",35.92,0,1.2,1.22,7.76,,,,,TRUE,
"Campbell,Campbell'S Sel Gold Label Soups,Southw",58.3,1.22,0.8,1.22,10.61,,,,,TRUE,
"Campbell,Campbell'S Sel Microwaveable Bowls,Hea",46.9,1.22,0.8,2.86,6.12,,,,,TRUE,
"Campbell,Campbell'S Sel Soup,Zesty Azteca Meatb",46.9,1.22,0.8,2.04,6.94,,,,,TRUE,
"Campbell,Campbell'S Sel Soups,Healthy Request C",41.86,1.02,0.8,2.86,5.31,,,,,TRUE,
"Campbell,Campbell'S Soup At Hand,25% Less Na Ch",25.62,0.66,0.7,1.31,3.61,,,,,TRUE,
"Campbell,Campbell'S Soup At Hand,25% Less Na Cl",39.32,0,0.7,0.98,8.85,,,,,TRUE,
"Campbell,Prego Pasta,Chnky Grd Mshrm & Grn Pppr Ital Sau,Rts",86.2,3.08,3.1,1.54,13.08,,,,,TRUE,
"Campbell,Prego Pasta,Chnky Grdn Tmto,On & Grlic Ital Sau,Rts",69.6,2.4,2.4,1.6,10.4,,,,,TRUE,
"Campbell,Prego Pasta,Chunky Garden Mushroom Italian Sau,Rts",66.95,2.31,2.3,1.54,10,,,,,TRUE,
"Campbell,Prego Pasta,Heart Smart- Traditional S",66.95,2.31,2.3,1.54,10,,,,,TRUE,
"Campbell,Red & White,98% Fat Free Crm Of Mushroom Soup,Cond",53.66,2.02,0.8,1.61,7.26,,,,,TRUE,
"Campbell,Spaghettios,Mini Bf Ravioli In Meat Sau",99.06,1.74,1.9,4.25,16.6,,,,,TRUE,
"Campbell,Spaghettios,Spaghetti In Tomato & Chs Sau",80,0.6,1.2,2.78,15.87,,,,,TRUE,
"Campbell,Supper Bakes Kits,Garlic Chick W/ Pasta",219.58,0.98,2,9.76,42.93,,,,,TRUE,
"Candies,Caramels,Chocolate-Flavor Roll",395.87,5.07,0.1,1.59,85.97,,,,,TRUE,
"Candies,Gumdrops,Starch Jelly Pieces",395.6,0,0.1,0,98.9,,,,,TRUE,
"Candies,Masterfoods Usa,Twix Caramel Cookie Bars",503.01,24.85,1.1,4.91,64.93,,,,,TRUE,
"Candies,Masterfoods Usa,Twix Choc Fudge Cookie Bars",552.9,33.3,3,7.3,56,,,,,TRUE,
"Candies,Masterfoods Usa,Twix Pnut Butter Cookie Bars",547.35,32.67,3.1,9.18,54.15,,,,,TRUE,
"Candies,Reese'S Pieces Candy",512.21,24.77,3,12.46,59.86,,,,,TRUE,
"Candies,Symphony Milk Choc Bar",541.21,30.57,1.7,8.51,58.01,,,,,TRUE,
"Candies,Tootsie Roll,Chocolate-Flavor Roll",387.07,3.31,0.1,1.59,87.73,,,,,TRUE,
"Cereal Wafer Straws,Kellogg,Cocoa Krispies Crl Straws",438.6,11.8,1.5,5.9,77.2,,,,,TRUE,
"Cereals Rte,Corn,Whl Wheat,Rolled Oats,Presweetened,W/Almond",419.7,8.5,4.5,7.8,78,,,,,TRUE,
"Cereals Rte,General Mills Mills Pnut Butter Toast Crunch",435.71,11.67,3.3,6.67,76,,,,,TRUE,
"Cereals Rte,General Mills,Cinn Toast Crunch",424.42,9.38,3.8,5.27,79.73,,,,,TRUE,
"Cereals Rte,General Mills,Cookie Crisp",405,5,4,3.33,86.67,,,,,TRUE,
"Cereals Rte,General Mills,French Toast Crunch",433.66,10.94,3.1,6.25,77.55,,,,,TRUE,
"Cereals Rte,General Mills,Pnut Butter Cookie Crisp",435.75,11.67,3.3,6.67,76.01,,,,,TRUE,
"Cereals Rte,Kellogg,Berry Rice Krispies",383,1,0.3,5.5,88,,,,,TRUE,
"Cereals Rte,Kellogg,Kellogg'S Cocoa Krispies",391.18,2.9,1.9,5.22,86.05,,,,,TRUE,
"Cereals Rte,Kellogg,Kellogg'S Frstd Rice Krispies",384.1,0.9,0.3,5,89,,,,,TRUE,
"Cereals Rte,Kellogg,Kellogg'S Rice Krispies",376.96,0.96,0.8,6.84,85.24,,,,,TRUE,
"Cereals Rte,Kellogg,Kellogg'S Rice Krispies Treats Crl",399.4,4.6,0.2,4.8,84.7,,,,,TRUE,
"Cereals Rte,Kraft,Post Toasties Corn Flakes",374.5,0.1,4.5,6.7,86.7,,,,,TRUE,
"Cereals Rte,Malt-O-,Appl Cinn Toasty O'S",409.61,5.69,5,7.1,82.5,,,,,TRUE,
"Cereals Rte,Malt-O-,Cinn Toasters",430.5,10.1,4.7,5.8,79.1,,,,,TRUE,
"Cereals Rte,Malt-O-,Honey Nut Toasty O'S Crl",384.08,2.16,5.6,9.63,81.53,,,,,TRUE,
"Cereals Rte,Rolled Oats,Whl Wheat,Rice,Maple Flav,W/ Pecans",435.3,10.5,6,8.3,76.9,,,,,TRUE,
"Cereals Rte,Whl Wheat,Rolled Oats,Presweetened,W/ Pecans",429,11.8,7,9.3,71.4,,,,,TRUE,
"Cereals Rte,Whl Wheat,Rolled Oats,Presweetened,W/Nuts&Fruit",400.4,8.4,7.4,8,73.2,,,,,TRUE,
"Cereals,Quaker,Inst Oatmeal Express Cinn Roll,Dry",386.12,5.04,6.7,8.85,76.34,,,,,TRUE,
"Cereals,Quaker,Inst Oatmeal, Cinn Roll,Prep W/ Boiling H2O",120.9,1.58,2.1,2.77,23.9,,,,,TRUE,
"Cereals,Roman",76,0.8,2.9,3,14.2,,,,,TRUE,
"Cereals,Rte,Malt-O-,Toasty O'S",404.08,5.92,10.7,13.1,74.6,,,,,TRUE,
"Cheese Sub,Mozzarella",250.54,12.22,0,11.47,23.67,,,,,TRUE,
"Cheese,Limburger",327.41,27.25,0,20.05,0.49,,,,,TRUE,
Cheesecake Commly Prep,326.5,22.5,0.4,5.5,25.5,,,,,TRUE,
"Cheesecake Prep From Mix,No-Bake Type",278.3,12.7,1.9,5.5,35.5,,,,,TRUE,
"Chef Boyardee Bf Ravioli In Tomato & Meat Sau,Cnd",91.55,2.67,0.5,3.3,13.58,,,,,TRUE,
"Chef Boyardee Spaghetti & Meatballs In Tomato Sau,Cnd",100,3.88,1.4,4.37,11.9,,,,,TRUE,
Chicken Breast Fat-Free Mesq Flavor Sliced,79.71,0.39,0,16.8,2.25,,,,,TRUE,
"Chicken Pot Pie,Frz ,Prep",213.91,10.83,1.2,6.08,23.03,,,,,TRUE,
Chicken Roll Lt Meat,109.77,2.73,0,16.64,4.66,,,,,TRUE,
"Chicken,Stewing,Dk Meat,Meat Only,Ckd,Stwd",250.08,15.28,0,28.14,0,,,,,TRUE,
"Chicken,Stewing,Dk Meat,Meat Only,Raw",151.88,8.12,0,19.7,0,,,,,TRUE,
"Chicken,Stewing,Giblets,Ckd,Simmrd",187.06,9.3,0,25.73,0.11,,,,,TRUE,
"Chicken,Stewing,Giblets,Raw",162.97,9.21,0,17.89,2.13,,,,,TRUE,
"Chicken,Stewing,Lt Meat,Meat Only,Ckd,Stwd",203.98,7.98,0,33.04,0,,,,,TRUE,
