name,kcal_per_100gr,fat_per_100gr,fiber_per_100gr,protein_per_100gr,carbs_per_100gr,user_id,notes,tags,is_verified,image_url
"Cabbage, Common",27.94,0.18,2.3,1.21,5.37,,,,TRUE,
"Cabbage, Japanese Style",29.98,0.1,3.1,1.6,5.67,,,,TRUE,
"Cabbage, Mustard",27.82,0.1,3.1,1.1,5.63,,,,TRUE,
"Cabbage, Napa",14.85,0.17,0,1.1,2.23,,,,TRUE,
"Cabbage, Red",36.64,0.16,2.1,1.43,7.37,,,,TRUE,
"Cabbage, Savoy",33.3,0.1,3.1,2,6.1,,,,TRUE,
"Campbell Company, Franco-American Ft Fe Slw Rst Chick Grvy",33.88,0,0,1.69,6.78,,,,TRUE,
"Campbell Supper Bakes Meal Kits, Lemon Chick W/ Herb Rice",209.54,1.06,2.1,4.26,45.74,,,,TRUE,
"Campbell'S Red & White, Manhattan Clam Chowder",48.04,0.4,1.6,1.59,9.52,,,,TRUE,
"Campbell'S Red & White, New England Clam Chowder",71.78,1.98,0.8,3.17,10.32,,,,TRUE,
"Campbell'S Red & White, Southwestern-Style Chick Veg Sop",89.67,0.79,3.2,3.97,16.67,,,,TRUE,
"Campbell'S Red & White, Sthwest Style Pepper Jck Sp",91.92,4.84,3.2,1.61,10.48,,,,TRUE,
"Campbell, Campbell'S Red & White",78.19,4.03,0.8,1.61,8.87,,,,TRUE,
"Campbell, Campbells Red&White",60.1,2.02,1.6,1.61,8.87,,,,TRUE,
"Campbell, Spaghtettios A To Z'S W/ Meatballs",102.01,3.57,1.2,4.37,13.1,,,,TRUE,
"Campbell, Supper Bakes Meal Kits",188.87,1.23,2.5,4.94,39.51,,,,TRUE,
"Campbell, Supper Meal Kits",180.82,1.18,2.4,5.91,36.64,,,,TRUE,
Candied Fruit,332.95,0.07,1.6,0.34,82.74,,,,TRUE,
"Candies, 5Th Avenue Candy Bar",501.66,23.98,3.1,8.78,62.68,,,,TRUE,
"Candies, Almond Joy Bites",562.74,34.5,4.3,5.58,57.48,,,,TRUE,
"Candies, Almond Joy Candy Bar",496.93,26.93,5,4.13,59.51,,,,TRUE,
"Candies, Butterscotch",391.42,3.3,0,0.03,90.4,,,,TRUE,
"Candies, Caramello Candy Bar",470.71,21.19,1.2,6.19,63.81,,,,TRUE,
"Candies, Caramels",399.3,8.1,0,4.6,77,,,,TRUE,
"Candies, Carob",540,31.36,3.8,8.15,56.29,,,,TRUE,
"Candies, Choc",547.14,31.62,7.2,5.09,60.55,,,,TRUE,
"Candies, Choc Covered",469.68,21,4.3,9.5,60.67,,,,TRUE,
"Candies, Confectioner'S Coating",522.24,27,0,5.87,63.94,,,,TRUE,
"Candies, Divinity",362.02,0.06,0,1.32,89.05,,,,TRUE,
"Candies, Dk Choc Coatd Coffee Bns",539.8,30,7.5,7.5,59.95,,,,TRUE,
"Candies, Fondant",372.9,0.02,0,0,93.18,,,,TRUE,
"Candies, Fudge",409.01,10.41,1.7,2.39,76.44,,,,TRUE,
"Candies, Gum Drops",353.8,0.2,18,0,88,,,,TRUE,
"Candies, Halavah",485.6,21.52,4.5,12.49,60.49,,,,TRUE,
"Candies, Hard",393.8,0.2,0,0,98,,,,TRUE,
"Candies, Heath Bites",542.74,30.38,2,3.94,63.39,,,,TRUE,
"Candies, Hershey",530.08,27.84,1.9,6.24,63.64,,,,TRUE,
"Candies, Hershey'S Golden Almond Solitaires",569.69,37.13,4.4,11.97,46.91,,,,TRUE,
"Candies, Hershey'S Milk Choc W/ Almond Bites",564.61,35.73,3.6,9.76,51,,,,TRUE,
"Candies, Hershey'S Pot Of Gold Almond Bar",582.02,38.46,3.8,12.82,46.15,,,,TRUE,
"Candies, Jellybeans",374.65,0.05,0.2,0,93.55,,,,TRUE,
"Candies, Kit Kat Bites",521.89,26.41,2.2,6.5,64.55,,,,TRUE,
"Candies, Kit Kat Wafer Bar",518.31,25.99,1,6.51,64.59,,,,TRUE,
"Candies, Krackel Choc Bar",521.54,26.58,2.2,6.62,63.96,,,,TRUE,
"Candies, Marshmallows",334.2,0.2,0.1,1.8,81.3,,,,TRUE,
"Candies, Masterfoods Usa",487.01,23.85,2.3,7.53,60.56,,,,TRUE,
"Candies, Milk Choc",535.14,29.66,3.4,7.65,59.4,,,,TRUE,
"Candies, Milk Choc Coatd Coffee Bns",549.26,33.18,5.7,7.41,55.25,,,,TRUE,
"Candies, Milk Choc Coatd Pnuts",552.7,33.5,4.7,13.1,49.7,,,,TRUE,
"Candies, Milk Choc Coatd Raisins",423.2,14.8,3.1,4.1,68.4,,,,TRUE,
"Candies, Mounds Candy Bar",492.16,26.6,3.7,4.6,58.59,,,,TRUE,
"Candies, Mr. Goodbar Choc Bar",557.13,33.21,3.8,10.22,54.34,,,,TRUE,
"Candies, Nestle",483.3,18.9,2,5.4,72.9,,,,TRUE,
"Candies, Nougat",397.91,1.67,3.3,3.33,92.39,,,,TRUE,
"Candies, Peanut Bar",554.9,33.7,4.1,15.5,47.4,,,,TRUE,
"Candies, Pnut Brittle",486.06,18.98,2.5,7.57,71.24,,,,TRUE,
"Candies, Praline",484.66,25.9,3.5,3.3,59.59,,,,TRUE,
"Candies, Reese'S",491.82,23.42,2.9,8.66,61.6,,,,TRUE,
"Candies, Reese'S Bites",534.73,29.85,3.1,11.34,55.18,,,,TRUE,
"Candies, Reese'S Fast Break",500.21,23.21,3.6,8.93,63.9,,,,TRUE,
"Candies, Reese'S Nutrageous Candy Bar",545.13,32.09,3.9,11.28,52.8,,,,TRUE,
"Candies, Reese'S Pnut Butter Cups",537.17,30.53,3.6,10.24,55.36,,,,TRUE,
"Candies, Reesesticks Crispy Wafers",541.7,31.34,3.3,9.53,55.38,,,,TRUE,
"Candies, Rolo Caramels In Milk Choc",480.49,20.93,0.9,5.08,67.95,,,,TRUE,
"Candies, Semisweet Choc",539.2,30,5.9,4.2,63.1,,,,TRUE,
"Candies, Sesame Crunch",547.3,33.3,7.7,11.6,50.3,,,,TRUE,
"Candies, Skor Toffee Bar",549.02,32.18,1.3,3.13,61.72,,,,TRUE,
"Candies, Soft Fruit & Nut Squares",390.16,9.52,2.4,2.31,73.81,,,,TRUE,
"Candies, Spl Dk Choc Bar",555.72,32.4,6.5,5.54,60.49,,,,TRUE,
"Candies, Sugar-Coated Almonds",474.41,17.93,2.5,10,68.26,,,,TRUE,
"Candies, Sweet Chocolate",561.8,34.2,5.5,3.9,59.6,,,,TRUE,
"Candies, Swt Choc Coatd Fondant",414.1,9.3,2.1,2.2,80.4,,,,TRUE,
"Candies, Taffy",396.33,3.33,0,0.03,91.56,,,,TRUE,
"Candies, Toffee",557.91,32.75,0,1.07,64.72,,,,TRUE,
"Candies, Truffles",508.2,33.76,2.5,6.21,44.88,,,,TRUE,
"Candies, Twizzlers Cherry Bites",344.7,1.7,0.1,2.97,79.38,,,,TRUE,
"Candies, Twizzlers Nibs Cherry Bits",350.44,2.64,0.6,2.3,79.37,,,,TRUE,
"Candies, Twizzlers Strawberry Twists Candy",350.08,2.32,0,2.56,79.74,,,,TRUE,
"Candies, Whatchamacallit Candy Bar",498.2,23.68,1.9,8.04,63.23,,,,TRUE,
"Candies, White Choc",549.25,32.09,0.2,5.87,59.24,,,,TRUE,
"Candies, York Bites",399.56,7.32,2,1.78,81.64,,,,TRUE,
"Candies, York Peppermint Pattie",397.25,7.17,2,2.19,80.99,,,,TRUE,
"Capers, Canned",36.74,0.86,3.2,2.36,4.89,,,,TRUE,
Carambola,34.05,0.33,2.8,1.04,6.73,,,,TRUE,
Caraway Seed,409.99,14.59,38,19.77,49.9,,,,TRUE,
"Carb Bev, Lo Cal",1.87,0.03,0,0.11,0.29,,,,TRUE,
"Carbonated Bev, Chocolate-Flavored Soda",42.8,0,0,0,10.7,,,,TRUE,
"Carbonated Bev, Club Soda",0,0,0,0,0,,,,TRUE,
"Carbonated Bev, Cola",42.32,0,0,0,10.58,,,,TRUE,
"Carbonated Bev, Crm Soda",53.2,0,0,0,13.3,,,,TRUE,
"Carbonated Bev, Ginger Ale",35.08,0,0,0,8.77,,,,TRUE,
"Carbonated Bev, Grape Soda",44.8,0,0,0,11.2,,,,TRUE,
"Carbonated Bev, Lemon-Lime Soda",42.04,0,0,0.09,10.42,,,,TRUE,
"Carbonated Bev, Lo Cal",1.08,0,0,0.12,0.15,,,,TRUE,
"Carbonated Bev, Local",0,0,0,0,0.1,,,,TRUE,
"Carbonated Bev, Orange",49.2,0,0,0,12.3,,,,TRUE,
"Carbonated Bev, Pepper-Type",42.5,0.1,0,0,10.4,,,,TRUE,
"Carbonated Bev, Red Sugar",20.64,0,0,0,5.16,,,,TRUE,
"Carbonated Bev, Root Beer",42.4,0,0,0,10.6,,,,TRUE,
"Carbonated Bev, Sprite",40.94,0.02,0,0.05,10.14,,,,TRUE,
"Carbonated Bev, Tonic H2O",35.2,0,0,0,8.8,,,,TRUE,
Cardoon,19.98,0.1,1.6,0.7,4.07,,,,TRUE,
"Cardoon, Ckd",25.35,0.11,1.7,0.76,5.33,,,,TRUE,
"Caribou, Bone Marrow",786.4,84.4,0,6.7,0,,,,TRUE,
"Caribou, Eye",325.8,31.4,0,10.8,0,,,,TRUE,
"Caribou, Hind Quarter Meat",120.85,3.37,0,22.63,0,,,,TRUE,
"Caribou, Liver",122.3,3.9,0,15,6.8,,,,TRUE,
"Caribou, Rump Meat",255.31,5.23,0,52.06,0,,,,TRUE,
"Caribou, Shldr Meat",270.55,3.67,0,59.38,0,,,,TRUE,
"Caribou, Tongue",260,22.8,0,13.7,0,,,,TRUE,
Carissa,68.22,1.3,0,0.5,13.63,,,,TRUE,
"Carl Buddig, Ckd Corned Bf",142.4,6.8,0,19.3,1,,,,TRUE,
"Carl Buddig, Smoked Sliced Bf",138.1,6.5,0,19.3,0.6,,,,TRUE,
"Carl Buddig, Smoked Sliced Chick",165.3,10.1,0,17.9,0.7,,,,TRUE,
"Carl Buddig, Smoked Sliced Ham",162.1,9.3,0,18.5,1.1,,,,TRUE,
"Carl Buddig, Smoked Sliced Turkey",159.1,9.1,0,17.5,1.8,,,,TRUE,
"Carl Buddig. Ckd Smoked Bf Pastrami, Chopd",140.9,6.5,0,19.6,1,,,,TRUE,
Carob Flour,379.85,0.65,39.8,4.62,88.88,,,,TRUE,
"Carob-Flavor Bev Mix, Pdr",382.2,0.2,8,1.8,93.3,,,,TRUE,
Carp,121.72,5.6,0,17.83,0,,,,TRUE,
"Carp, Dry Heat",155.97,7.17,0,22.86,0,,,,TRUE,
"Carrot Juice, Canned",42.27,0.15,0.8,0.95,9.28,,,,TRUE,
"Carrot, Dehydrated",364.09,1.49,23.6,8.1,79.57,,,,TRUE,
Carrots,44.2,0.24,2.8,0.93,9.58,,,,TRUE,
"Carrots, Baby",36.69,0.13,2.9,0.64,8.24,,,,TRUE,
"Carrots, Ckd",37.54,0.18,3,0.76,8.22,,,,TRUE,
"Carrots, Cnd",25.06,0.14,1.8,0.58,5.37,,,,TRUE,
"Carrots, Frozen",38.86,0.46,3.3,0.78,7.9,,,,TRUE,
"Carrots, Frz",39.36,0.68,3.3,0.58,7.73,,,,TRUE,
"Cashew Butter, Pln",625.21,49.41,2,17.56,27.57,,,,TRUE,
"Cashew Nuts, Dry Rstd",609.15,46.35,3,15.31,32.69,,,,TRUE,
"Cashew Nuts, Oil Rstd",616.77,47.77,3.3,16.84,29.87,,,,TRUE,
Cassava,160.2,0.28,1.8,1.36,38.06,,,,TRUE,
"Catfish, Channel",90.9,2.82,0,16.38,0,,,,TRUE,
Catsup,110.35,0.31,0.3,1.74,25.15,,,,TRUE,
"Cattail, Narrow Leaf Shoots",25.28,0,4.5,1.18,5.14,,,,TRUE,
Cauliflower,30.02,0.1,2.5,1.98,5.3,,,,TRUE,
"Cauliflower, Ckd",27.85,0.45,2.3,1.84,4.11,,,,TRUE,
"Cauliflower, Frz",29.19,0.27,2.3,2.01,4.68,,,,TRUE,
"Cauliflower, Green",38.86,0.3,3.2,2.95,6.09,,,,TRUE,
"Cauliflower, Grn",40.07,0.31,3.3,3.04,6.28,,,,TRUE,
"Caviar, Black&Red",275.5,17.9,0,24.6,4,,,,TRUE,
Celeriac,45.5,0.3,1.8,1.5,9.2,,,,TRUE,
"Celeriac, Ckd",29.15,0.19,1.2,0.96,5.9,,,,TRUE,
Celery,16.17,0.17,1.6,0.69,2.97,,,,TRUE,
"Celery Flakes, Dried",318.9,2.1,27.8,11.3,63.7,,,,TRUE,
Celery Seed,465.11,25.27,11.8,18.07,41.35,,,,TRUE,
"Celery, Ckd",20.76,0.16,1.6,0.83,4,,,,TRUE,
Celtuce,20.7,0.3,1.7,0.85,3.65,,,,TRUE,
"Cereal Rte, Crispy Brown Rice",403.9,3.5,7.3,7.1,86,,,,TRUE,
"Cereal Wafer Straws, Kellogg",439,11.4,0,5.7,78.4,,,,TRUE,
"Cereals Ready To Eat, Character Cereals",389.09,2.33,3.6,6.13,85.9,,,,TRUE,
"Cereals Rte, Appl Cinn Squares Mini-Wheats",365.4,1.8,8.6,7.2,80.1,,,,TRUE,
"Cereals Rte, Bran",382.5,2.1,28.6,12.7,78.2,,,,TRUE,
"Cereals Rte, Bran Flakes",379,2.2,17.6,9.4,80.4,,,,TRUE,
"Cereals Rte, Choc Flav Rings",426,8.8,5.5,4.8,81.9,,,,TRUE,
"Cereals Rte, Chocolate-Flavored Frstd Puffed Corn",393.66,3.5,3.8,3.34,87.2,,,,TRUE,
"Cereals Rte, Corn",382.5,4.5,3.8,6.6,78.9,,,,TRUE,
"Cereals Rte, Corn Flakes",388.7,0.3,1.1,7.7,88.8,,,,TRUE,
"Cereals Rte, Corn&Oat Flours",395.3,2.1,2.5,5.2,88.9,,,,TRUE,
"Cereals Rte, Familia",389.9,6.3,8.5,9.5,73.8,,,,TRUE,
"Cereals Rte, Frstd Oat Crl W/Marshmallows",396.3,3.5,4.3,7.1,84.1,,,,TRUE,
"Cereals Rte, Gen Mills",396,4,7.3,10,80,,,,TRUE,
"Cereals Rte, General Mills",397.14,5.9,10.1,11.33,74.68,,,,TRUE,
"Cereals Rte, Granola",488.94,24.06,9,14.85,53.25,,,,TRUE,
"Cereals Rte, Health Valley",383.05,1.41,14.1,14.44,78.15,,,,TRUE,
"Cereals Rte, Healthy Choic",391.14,4.66,8.4,8.7,78.6,,,,TRUE,
"Cereals Rte, Just Right W/ Crunchy Nuggets",389.9,2.7,5.1,7.7,83.7,,,,TRUE,
"Cereals Rte, Kashi",384.8,2.8,15.1,7.9,82,,,,TRUE,
"Cereals Rte, Kashi 7 Whl Grain Flakes By Kellogg",388.75,1.95,11.3,11,81.8,,,,TRUE,
"Cereals Rte, Kashi 7 Whl Grain Honey Puffs",399.7,3.3,6.7,10,82.5,,,,TRUE,
"Cereals Rte, Kashi 7 Whl Grain Nuggets",396.4,2.8,11.7,11.8,81,,,,TRUE,
"Cereals Rte, Kashi Go Ln Crunch!",409.1,8.3,16.2,16.6,67,,,,TRUE,
"Cereals Rte, Kashi Golean By Kellogg",353.5,1.9,19.6,26.1,58,,,,TRUE,
"Cereals Rte, Kashi Golean Crunch! By Kellogg",393.8,5.8,15.2,17.5,67.9,,,,TRUE,
"Cereals Rte, Kashi Good Friends By Kellogg",397.2,3.6,22.2,9.4,81.8,,,,TRUE,
"Cereals Rte, Kashi Granola",438.3,16.7,12.7,11,61,,,,TRUE,
"Cereals Rte, Kashi Heart To Heart",401.9,5.1,14.1,13,76,,,,TRUE,
"Cereals Rte, Kashi Mighty Bites",383.1,3.9,9,17,70,,,,TRUE,
"Cereals Rte, Kashi Organic Promise Cinn Harvest",375.2,2,10.3,8.3,81,,,,TRUE,
"Cereals Rte, Kashi Organic Promise Cranberry Sunshine",401,3,9.9,5.5,88,,,,TRUE,
"Cereals Rte, Kashi Organic Promise Strawberry Fields",383.47,0.43,3.5,7.8,87.1,,,,TRUE,
"Cereals Rte, Kellg'S",373.5,1.5,9.6,8,82,,,,TRUE,
"Cereals Rte, Kellogg",374.4,2,9.7,9.1,80,,,,TRUE,
"Cereals Rte, Kellogg'S",386.8,1.2,5,7,87,,,,TRUE,
"Cereals Rte, Kellogg'S All-Bran Complete Wheat Flakes",374,2,17.5,10,79,,,,TRUE,
"Cereals Rte, Kellogg'S Frstd Mini-Wheats",378.4,1.6,10,9,82,,,,TRUE,
"Cereals Rte, Kellogg'S Mini-Wheats Frstd Strawberry Delight",380.5,1.7,9.6,8.3,83,,,,TRUE,
"Cereals Rte, Kraft",386.97,1.85,8.8,12.48,80.1,,,,TRUE,
"Cereals Rte, Malt-O-Meal",396.2,2.6,1.8,3.7,89.5,,,,TRUE,
"Cereals Rte, Malt-O-Meal Honey Graham Crl",378.62,3.02,5.2,5.03,82.83,,,,TRUE,
"Cereals Rte, Muesli",394.1,4.9,7.3,9.7,77.8,,,,TRUE,
"Cereals Rte, Nature'S Path",392.63,4.55,18.2,14.55,73.37,,,,TRUE,
"Cereals Rte, Oat",431.8,9.8,1.8,6,79.9,,,,TRUE,
"Cereals Rte, Oat Bran Flakes",369.8,1.4,13,10.7,78.6,,,,TRUE,
"Cereals Rte, Oats",400.1,3.3,1.7,5.9,86.7,,,,TRUE,
"Cereals Rte, Puffed Kashi By Kellogg",394.1,2.9,6.8,12,80,,,,TRUE,
"Cereals Rte, Quaker",398.22,4.34,6.4,9.07,80.72,,,,TRUE,
"Cereals Rte, Ralston Corn Biscuits",375.93,1.05,2.6,5.83,85.79,,,,TRUE,
"Cereals Rte, Ralston Corn Flakes",383.83,0.91,2.7,5.9,88.01,,,,TRUE,
"Cereals Rte, Ralston Crispy Hexagons",379.43,0.95,1.5,5.94,86.78,,,,TRUE,
"Cereals Rte, Ralston Crispy Rice",382.98,1.26,0.7,6.69,86.22,,,,TRUE,
"Cereals Rte, Ralston Enr Bran Flakes",390.16,3.36,16.9,10.21,79.77,,,,TRUE,
"Cereals Rte, Ralston Tasteeos",397.93,5.97,10.7,11.83,74.22,,,,TRUE,
"Cereals Rte, Rice",388.9,0.5,1.7,6.3,89.8,,,,TRUE,
"Cereals Rte, Uncle Sam Crl",431.44,11.6,20.3,15.98,65.78,,,,TRUE,
"Cereals Rte, Usda Cmdty Corn & Rice",381.36,1.08,1.4,6.06,86.85,,,,TRUE,
"Cereals Rte, Usda Cmdty Rice Crisps",381.39,1.27,0.7,6.45,86.04,,,,TRUE,
"Cereals Rte, Waffelos",405.4,4.2,0,5.6,86.3,,,,TRUE,
"Cereals Rte, Weetabix Whl Wheat Crl",380.8,2.8,11.4,11.5,77.4,,,,TRUE,
"Cereals Rte, Wheat",388,1.2,4.4,14.7,79.6,,,,TRUE,
"Cereals Rte, Wheat Germ",411.1,10.7,15.1,29.1,49.6,,,,TRUE,
"Cereals Rte, Wheat&Bran",383.6,5.6,9.7,7.1,76.2,,,,TRUE,
"Cereals Rte, Wheat&Malt Barley Flakes",392.1,2.9,8.8,10,81.5,,,,TRUE,
"Cereals Rte, Whl Wheat",422.7,10.3,6.8,8.5,74,,,,TRUE,
"Cereals, Corn Grits",364.4,1.2,1.6,8.8,79.6,,,,TRUE,
"Cereals, Cream Of Rice",50.5,0.1,0.1,0.9,11.5,,,,TRUE,
"Cereals, Cream Of Wheat",361.5,1.5,3.8,10.5,76.5,,,,TRUE,
"Cereals, Crm Of Rice",359.3,0.5,0.7,6.3,82.4,,,,TRUE,
"Cereals, Crm Of Wheat",363.9,1.1,2.5,6.9,81.6,,,,TRUE,
"Cereals, Farina",358.9,0.5,1.9,10.6,78,,,,TRUE,
"Cereals, Kashi",383.7,5.3,12.8,19,65,,,,TRUE,
"Cereals, Kashi Go Ln Hot Crl",389.5,5.5,19.4,22,63,,,,TRUE,
"Cereals, Kashi Heart To Heart",396.6,5,11.6,10.9,77,,,,TRUE,
"Cereals, Malt-O-Meal",361.03,1.27,4,11.8,75.6,,,,TRUE,
"Cereals, Maltex",372.9,2.1,4.2,11.2,77.3,,,,TRUE,
"Cereals, Maypo",388.5,5.3,10.8,13.2,72,,,,TRUE,
"Cereals, Nestum",72.59,0.23,0.4,1.41,16.22,,,,TRUE,
"Cereals, Oat Bran",46.63,0.95,1.7,2.03,7.49,,,,TRUE,
"Cereals, Oats",377.33,6.25,10,12.72,67.55,,,,TRUE,
"Cereals, Qkr",46.63,0.95,1.7,2.03,7.49,,,,TRUE,
"Cereals, Quaker",357.73,0.97,4.8,8.43,78.82,,,,TRUE,
"Cereals, Quakr",108.31,1.35,1.6,2.19,21.85,,,,TRUE,
"Cereals, Ralston",363.7,2.1,13.4,14.1,72.1,,,,TRUE,
"Cereals, Roman Meal",365.4,2.2,17.9,14.4,72,,,,TRUE,
"Cereals, Rte",377.3,3.3,9.1,11.2,75.7,,,,TRUE,
"Cereals, Wheatena",380.9,2.9,12.8,13.1,75.6,,,,TRUE,
"Cereals, Whl Wheat Hot Nat Crl",363.6,2,9.5,11.2,75.2,,,,TRUE,
"Cerls, Quaker",361.95,1.75,4.6,9.93,76.62,,,,TRUE,
"Cerls, Qukr",120.54,1.5,2,2.66,24.1,,,,TRUE,
"Chard, Swiss",23.96,0.2,1.6,1.8,3.74,,,,TRUE,
"Chayote, Fruit",22.49,0.13,1.7,0.82,4.51,,,,TRUE,
"Cheese Fd, Cold Pk",332.06,24.46,0,19.66,8.32,,,,TRUE,
"Cheese Fd, Past Process",322.94,24.14,0,21.92,4.5,,,,TRUE,
Cheese Fondue,193.23,13.47,0,14.23,3.77,,,,TRUE,
"Cheese Food, Imitation",136.5,1.3,0,22.4,8.8,,,,TRUE,
"Cheese Product, Past Process",239.7,14.1,0,17.6,10.6,,,,TRUE,
"Cheese Puffs&Twists, Corn Bsd",432.3,12.1,10.7,8.5,72.35,,,,TRUE,
"Cheese Sau, Prep From Recipe",197.52,14.92,0.1,10.33,5.48,,,,TRUE,
"Cheese Sprd, Crm Chs Base",299.8,28.6,0,7.1,3.5,,,,TRUE,
"Cheese Sprd, Past Process",291.63,21.23,0,16.41,8.73,,,,TRUE,
"Cheese, American Cheddar",239.2,14,0,16.7,11.6,,,,TRUE,
"Cheese, Blue",353.62,28.74,0,21.4,2.34,,,,TRUE,
"Cheese, Brick",371.24,29.68,0,23.24,2.79,,,,TRUE,
"Cheese, Brie",333.92,27.68,0,20.75,0.45,,,,TRUE,
"Cheese, Camembert",299.38,24.26,0,19.8,0.46,,,,TRUE,
"Cheese, Caraway",375.76,29.2,0,25.18,3.06,,,,TRUE,
"Cheese, Cheddar",402.98,33.14,0,24.9,1.28,,,,TRUE,
"Cheese, Cheshire",388,30.6,0,23.37,4.78,,,,TRUE,
"Cheese, Colby",394.31,32.11,0,23.76,2.57,,,,TRUE,
"Cheese, Cottage",95.85,3.85,0.2,10.69,4.61,,,,TRUE,
"Cheese, Cream",348.16,34.24,0,5.93,4.07,,,,TRUE,
"Cheese, Edam",355.88,27.8,0,24.99,1.43,,,,TRUE,
"Cheese, Feta",264.72,21.28,0,14.21,4.09,,,,TRUE,
"Cheese, Fontina",388.86,31.14,0,25.6,1.55,,,,TRUE,
"Cheese, Gjetost",474.79,29.51,0,9.65,42.65,,,,TRUE,
"Cheese, Goat",451.07,35.59,0,30.52,2.17,,,,TRUE,
"Cheese, Gouda",355.6,27.44,0,24.94,2.22,,,,TRUE,
"Cheese, Gruyere",411.74,32.34,0,29.81,0.36,,,,TRUE,
"Cheese, Lofat",168.04,7,0,24.35,1.91,,,,TRUE,
"Cheese, Low-Sodium",398.62,32.62,0,24.35,1.91,,,,TRUE,
"Cheese, Mexican",374.1,29.98,0,21.44,4.63,,,,TRUE,
"Cheese, Monterey",373.16,30.28,0,24.48,0.68,,,,TRUE,
"Cheese, Mozzarella",140.8,0,1.8,31.7,3.5,,,,TRUE,
"Cheese, Muenster",368.48,30.04,0,23.41,1.12,,,,TRUE,
"Cheese, Neufchatel",255.98,22.78,0,9.15,3.59,,,,TRUE,
"Cheese, Parmesan",427.57,28.61,0,38.46,4.06,,,,TRUE,
"Cheese, Past Process",376.24,31.2,0.1,22.13,1.73,,,,TRUE,
"Cheese, Port De Salut",351.2,28.2,0,23.78,0.57,,,,TRUE,
"Cheese, Provolone",350.46,26.62,0,25.58,2.14,,,,TRUE,
"Cheese, Ricotta",174.02,12.98,0,11.26,3.04,,,,TRUE,
"Cheese, Romano",384.18,26.94,0,31.8,3.63,,,,TRUE,
"Cheese, Roquefort",369.92,30.64,0,21.54,2,,,,TRUE,
"Cheese, Swiss",379.44,27.8,0,26.93,5.38,,,,TRUE,
"Cheese, Tilsit",338.98,25.98,0,24.41,1.88,,,,TRUE,
"Cheesefurter, Chs Smokie",323.44,29,0,14.1,1.51,,,,TRUE,
"Chef Boyardee Beefaroni, Macaroni W/Beef In Tomato Sau",91.55,2.67,0.5,3.3,13.58,,,,TRUE,
"Chef Boyardee Mini Ravioli, Bf Ravioli Tomato",91.68,3.24,1,3.27,12.36,,,,TRUE,
Cherimoya,82.98,0.62,2.3,1.65,17.7,,,,TRUE,
"Cherries, Sour",55.42,0.3,1.6,1,12.18,,,,TRUE,
"Cherries, Sweet",70.08,0.2,2.1,1.06,16.01,,,,TRUE,
"Cherries, Swt",95.21,0.13,2.1,1.15,22.36,,,,TRUE,
"Chervil, Dried",324.3,3.9,11.3,23.2,49.1,,,,TRUE,
"Chestnuts, Chinese",223.07,1.11,0,4.2,49.07,,,,TRUE,
"Chestnuts, European",212.18,2.26,8.1,2.42,45.54,,,,TRUE,
"Chestnuts, Japanese",153.41,0.53,0,2.25,34.91,,,,TRUE,
Chewing Gum,267.02,0.3,2.4,0,66.08,,,,TRUE,
"Chewing Gum, Sugarless",382.8,0.4,2.4,0,94.8,,,,TRUE,
"Chia Seeds, Dried",514.63,30.75,37.7,15.62,43.85,,,,TRUE,
"Chick, Feet",209.8,14.6,0,19.4,0.2,,,,TRUE,
Chicken Breast Oven-Roasted Fat-Free Sliced,79.35,0.39,0,16.79,2.17,,,,TRUE,
"Chicken Breast Tenders, Ckd",251.65,12.89,0,16.35,17.56,,,,TRUE,
"Chicken Breast Tenders, Unckd",260.71,15.75,1.1,14.73,15.01,,,,TRUE,
"Chicken Nuggets, Frz",295.82,19.82,2.1,15.27,14.09,,,,TRUE,
"Chicken Patty, Frz",292.12,20.04,1.2,14.33,13.61,,,,TRUE,
Chicken Sprd,246.28,17.56,0.3,18.01,4.05,,,,TRUE,
"Chicken, Broiler Or Fryer",285.25,17.53,0,22.84,9.03,,,,TRUE,
"Chicken, Broilers Or Fryers",207.31,14.83,0,18.33,0.13,,,,TRUE,
"Chicken, Canned",177.3,8.1,0,25.3,0.8,,,,TRUE,
"Chicken, Capons",226.46,16.9,0,18.51,0.08,,,,TRUE,
"Chicken, Cnd",158.63,7.95,0,21.77,0,,,,TRUE,
"Chicken, Cornish Game Hens",194.78,14.02,0,17.15,0,,,,TRUE,
"Chicken, Gizzard",89.18,2.06,0,17.66,0,,,,TRUE,
"Chicken, Ground",142.82,8.1,0,17.44,0.04,,,,TRUE,
"Chicken, Heart",149.01,9.33,0,15.55,0.71,,,,TRUE,
"Chicken, Liver",111.15,4.83,0,16.92,0,,,,TRUE,
"Chicken, Meatless",223.69,12.73,3.6,23.64,3.64,,,,TRUE,
"Chicken, Roasting",207.86,15.46,0,17.09,0.09,,,,TRUE,
"Chicken, Wing",206.07,12.67,0.6,19.67,3.34,,,,TRUE,
Chickpea Flour,381.05,6.69,10.8,22.39,57.82,,,,TRUE,
"Chickpeas, Mature Seeds",374.16,6.04,17.4,19.3,60.65,,,,TRUE,
Chicory Greens,28.3,0.3,4,1.7,4.7,,,,TRUE,
Chicory Roots,77.44,0.2,0,1.4,17.51,,,,TRUE,
"Chicory, Witloof",20.5,0.1,3.1,0.9,4,,,,TRUE,
"Child Formula, Abbott Nutr",98.97,4.77,0,2.86,11.15,,,,TRUE,
